"accession_name","index","selected","DM_gravity","yield_ha","plant_type","branch_angle","branch_number","carotenoid1_8","CBB_3mon","DM_yield_ha","germinated_number_plot","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","lodging1_3_6mon","root_constriction1_3","root_length1_3","root_number_commercial","root_peduncle1_3","root_rot_number","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5"
"MEX6",-5.00178498285467,FALSE,25.92,14.88,2.24,NA,1.08,1.15,NA,3.88,7.52,75.25,269.76,198.21,24.06,1.51,NA,1.39,2.56,13.46,1.88,0.75,2.82,3,2.74,9.52,1.07,4.1
"GM4486-11",-5.15879939531462,FALSE,28.09,13.2,2.76,NA,0.93,6.07,NA,3.87,7.1,71.01,252.54,184.21,28.03,1.65,NA,1.19,2.41,NA,1.24,NA,2.86,3.03,2.98,8.55,NA,3.71
"GM10054B-2",-5.44674425223443,FALSE,29.61,16.03,3.85,45.36,4.48,1.59,1.05,5.18,6.73,67.29,244.34,63.96,25.65,2.29,1.14,1.16,2.25,16.36,1.85,0.5,2.64,3.01,2.85,10.34,1.46,3.78
"COL2564",-5.46886983755864,FALSE,26.63,18.13,3.13,NA,1.81,4.22,NA,5.17,7.87,78.7,249.14,117.71,26.46,1.83,NA,1.03,2.67,19.73,1.81,0.6,2.8,3,2.67,11.58,3.13,3.84
"COL1566",-5.64305068832366,FALSE,31.97,9.08,3.52,NA,3.68,2.93,NA,3.21,5.68,56.75,286.73,93.37,31.16,1.94,NA,1.11,2.41,10.56,1.68,1.43,2.81,3,3.01,5.95,1.08,3.74
"COL1722",-5.82641833879096,FALSE,30.63,13.51,3.83,42.15,3.3,NA,1.08,4.31,7.56,75.63,269.63,127.31,27.51,2.43,1.03,NA,2.47,12.14,2.03,0.61,2.78,2.88,3.09,8.69,1.07,4.26
"CR27-20",-5.93555117322148,FALSE,32.4,9.28,3.75,NA,2.76,1.72,NA,3.21,6.11,61.11,203.23,104.46,23.09,1.6,NA,1.34,2.09,10.42,2,0.63,2.67,1.05,3.25,6.07,1.08,3.52
"SM4821-37",-6.00987623736166,FALSE,29.83,13.45,3.55,NA,3.26,1.56,NA,4.3,4.85,48.51,304.25,121.73,25.45,2.1,NA,1.36,2.49,13.72,1.65,0.91,2.8,3.01,2.65,8.65,1.12,4.18
"GM5249-2",-6.08565227901567,FALSE,29.77,12.38,3.35,41.31,3.4,NA,1.04,3.63,4.88,48.79,224.7,87.83,20.17,1.31,1.02,NA,2.65,11.88,2.14,0.76,2.9,3.02,2.71,7.21,1.06,3.96
"SM4402-6",-6.19376872885806,FALSE,30.38,9.09,3.01,42.66,2.13,NA,1.08,2.64,4.41,44.11,287.54,181.2,21.28,1.31,1.04,NA,2.25,7.71,2.37,0.68,2.83,2.98,3.64,7.62,1.18,4.05
"SM4708-4",-6.37766936998897,FALSE,27.35,17.56,3.41,NA,3.73,1.59,NA,5.83,7.9,78.96,236.49,72.98,25.72,1.68,NA,1.23,2.36,18.3,1.18,1.15,2.82,3.01,2.38,11.22,1.06,3.98
"SM4744-21",-6.58460150073394,FALSE,30.8,11.69,3.67,NA,3.25,1.83,NA,3.83,5.61,56.1,272.09,75.92,25.82,2.11,NA,1.49,2.62,11.95,1.68,0.97,2.88,1.05,2.94,7.38,1.02,3.92
"PER496",-6.82358434934681,FALSE,27.37,14.97,3.02,44.65,3.12,1.6,1.05,4.28,4.83,48.29,285.99,143.7,31.16,1.4,1.03,1.17,2.43,13.3,2.08,1.1,2.81,3.03,3.03,9.63,1.07,4.05
"GM5260-3",-6.98159285310601,FALSE,29.04,12.11,3.15,43.38,3.42,NA,1.1,3.49,5.95,59.47,249.38,99.25,25.89,1.86,1.03,NA,2.61,11.86,1.87,0.65,2.87,2.86,3.2,7.02,1.07,4.07
"SM4573-44",-7.05205238295729,FALSE,28.6,12.35,3.04,NA,3.5,5.33,NA,3.76,7.08,70.82,246.77,94.79,20.04,1.14,NA,1.16,2.35,13.1,2.07,0.63,2.8,2.99,3.21,7.83,1.06,4.09
"GM7671-7",-7.27068801455117,FALSE,27.47,15.29,3.17,44.23,2,1.41,1.1,4.29,4.97,49.68,204.58,87.85,29.79,1.53,1.02,1.17,2.37,15.49,1.17,0.59,2.57,3.01,2.63,9.75,1.08,3.46
"SM4388-2",-7.34964544436715,FALSE,27.36,15.12,3.11,43.5,3.86,NA,1.06,4.05,4.12,41.24,266.37,94.83,22.4,1.59,1.02,NA,2.64,15.29,2.31,0.6,2.92,3,2.75,9.6,1.11,4.17
